description,MET
"Climbing hills, no load, very steep grade #1 #1​ (ID850)",15.5
"Climbing hills, no load, steep grade #2 #1​ (ID851)",16.3
"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate #1 #1​ (ID852)",6.5
"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace #1 #1​ (ID853)",7.5
"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace #1 #1​ (ID854)",10.0
Descending stairs #1 #1​ (ID855),3.5
"Hauling water, head hauling, walking on flat surface #1 #1​ (ID856)",4.5
"Hiking, cross country #1 #1​ (ID857)",6.0
"Hiking slowly or ambling through fields and hillsides, no load #1 #1​ (ID858)",3.8
"Hiking or walking at a normal pace through fields and hillsides, no load #1 #1​ (ID859)",5.3
"Bird watching, walking and stopping #1 #1​ (ID860)",2.5
"Marching, moderate speed, military, no pack #1 #1​ (ID861)",4.5
"Marching rapidly, military, no pack #1 #1​ (ID862)",8.0
"Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph #1 #1​ (ID863)",3.8
"Pushing a wheelchair, non-occupational #1 #1​ (ID864)",3.8
Race walking #1 #1​ (ID865),6.5
"Stair climbing, using or climbing up ladder #1 #1​ (ID866)",8.0
"Stair climbing, general #1 #1​ (ID867)",6.8
"Stair climbing, slow pace #1 #1​ (ID868)",4.5
"Stair climbing, fast pace, one step at a time #1 #1​ (ID869)",9.3
"Stair climbing, two steps at a time #1 #1​ (ID870)",7.5
"Stair climbing, ascending and descending stairs #1 #1​ (ID871)",7.5
"Using crutches, level ground, general #1 #1​ (ID872)",4.5
"Using crutches, fast pace #1 #1​ (ID873)",7.0
Using medical knee scooter #1 #1​ (ID874),4.3
"Walking, household #1 #1​ (ID875)",2.3
"Walking, less than 2.0 mph, level, strolling, very slow #1 #1​ (ID876)",2.3
"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface #1 #1​ (ID877)",2.8
Walking for pleasure #1 #1​ (ID878),3.5
"Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite #1 #1​ (ID879)",2.5
Walking to neighbor’s house or family’s house for social reasons #1 #1​ (ID880),2.5
Walking the dog #1 #1​ (ID881),3.0
"Walking, 2.5 mph, firm, level surface #1 #1​ (ID882)",3.0
"Walking, 2.5 mph, downhill #1 #1​ (ID883)",3.3
"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface #1 #1​ (ID884)",3.8
"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise #1 #1​ (ID885)",4.8
"Walking, 4.0 to 4.4 mph #1 #1​ (ID886)",5.5
"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk #1 #1​ (ID887)",7.0
"Walking, 5.0 to 5.5 mph #1 #1​ (ID888)",8.5
"Walking, for pleasure, work break #1 #1​ (ID889)",3.5
"Walking, self-selected speed, indoor track or outdoors, firm surface #1 #1​ (ID890)",4.0
"Walking, grass track #1 #1​ (ID891)",4.8
"Walking, normal pace, plowed field or sand #1 #1​ (ID892)",4.5
"Walking, to work or class #1 #1​ (ID893)",4.0
"Walking, to and from an outhouse #1 #1​ (ID894)",2.5
"Walking, for exercise, 2.5 to 3.5 mph #1 #1​ (ID895)",4.3
"Walking, for exercise, 3.6 to 4.4 mph #1 #1​ (ID896)",5.3
"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace #1 #1​ (ID897)",8.5
"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace #1 #1​ (ID898)",8.8
"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load #1 #1​ (ID899)",10.8
"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load #1 #1​ (ID900)",12.3
"Walking, backward, 3.5 mph, level #1 #1​ (ID901)",6.0
"Walking, backward, 3.5 mph, uphill, 5% grade #1 #1​ (ID902)",7.8
"Walking, Teabag walk, Monty Python Ministry of Silly Walks #1 #1​ (ID903)",8.0
"Walking, Putey walk, Monty Python Ministry of Silly Walks #1 #1​ (ID904)",3.5
"Walking, treadmill, less than 1.0 mph, 0% grade #1 #1​ (ID905)",2.1
"Walking, treadmill, 1.0 mph, 0% grade #1 #1​ (ID906)",2.3
"Walking, treadmill, 1.2 to 1.9 mph, 0% grade #1 #1​ (ID907)",2.8
"Walking, treadmill, 2.0 to 2.4 mph #1 #1​ (ID908)",3.0
"Walking, treadmill, 2.5 to 2.9 mph #1 #1​ (ID909)",3.5
"Walking, treadmill, 3.0 to 3.4 mph #1 #1​ (ID910)",3.8
"Walking, treadmill, 3.5 to 3.9 mph #1 #1​ (ID911)",4.8
"Walking, treadmill, 4.0 to 4.4 mph #1 #1​ (ID912)",5.8
"Walking, treadmill, 4.5 to 4.9 mph #1 #1​ (ID913)",6.8
"Walking, treadmill, 5.0 to 5.5 mph #1 #1​ (ID914)",8.3
"Walking, treadmill, downhill #1 #1​ (ID915)",3.3
"Walking, treadmill, downhill #2 #1​ (ID916)",3.3
"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb #1 #1​ (ID917)",4.8
"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb #1 #1​ (ID918)",5.8
"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace #1 #1​ (ID919)",8.3
"Walking treadmill, backwards, 2.5 mph, +10% grade #1 #1​ (ID920)",7.8
"Walking, with a walker or step-to gait on treadmill, 0.7 mph #1 #1​ (ID921)",1.5
"Boating, power, driving #1 #1​ (ID922)",2.5
"Boating, power, passenger, light #1 #1​ (ID923)",1.3
"Canoeing, on camping trip #1 #1​ (ID924)",4.0
"Canoeing, harvesting wild rice, knocking rice off the stalks #1 #1​ (ID925)",3.3
"Canoeing, portaging #1 #1​ (ID926)",7.0
"Canoeing, rowing, 2.0-3.9 mph, light effort #1 #1​ (ID927)",2.8
"Canoeing, rowing, 4.0-5.9 mph, moderate effort #1 #1​ (ID928)",5.8
"Canoeing, rowing, kayaking, competition, > 6 mph, vigorous effort #1 #1​ (ID929)",12.5
"Canoeing, rowing, for pleasure, general #1 #1​ (ID930)",3.5
"Canoeing or rowing, in competition, crew or sculling #1 #1​ (ID931)",12.0
"Diving, springboard or platform #1 #1​ (ID932)",3.0
"Kayaking, moderate effort #1 #1​ (ID933)",5.0
"Kayaking, competition #1 #1​ (ID934)",13.5
"Kayaking, slalom, flat water #1 #1​ (ID935)",9.0
Paddle boat #1 #1​ (ID936),4.0
"Rowing, simulated crew in a water tank, single oar, 33 strokes/min, #1 #1​ (ID937)",15.5
"Rowing, single scull, ergometer, ergometer on slides, racing speed #1 #1​ (ID938)",15.5
"Sailing, boat and board sailing, windsurfing, ice sailing, general #1 #1​ (ID939)",3.0
"Sailing, in competition, general #1 #1​ (ID940)",4.5
"Sailing, in competition, high effort #1 #1​ (ID941)",9.3
"Sailing, Sunfish/Laser/Hobby Cat, Keel boats, ocean sailing, yachting, leisure #1 #1​ (ID942)",3.3
"Sailing, dingy #1 #1​ (ID943)",2.0
"Skiing, water or wake boarding #1 #1​ (ID944)",6.0
"Jet skiing, driving, in water #1 #1​ (ID945)",7.0
"Skindiving, fast #1 #1​ (ID946)",15.8
"Skindiving, moderate #1 #1​ (ID947)",11.8
"Skindiving, scuba diving, general #1 #1​ (ID948)",7.0
"Scuba diving, general, light effort #1 #1​ (ID949)",5.3
"Scuba diving, general, moderate effort #1 #1​ (ID950)",5.8
"Scuba diving, professional diver #1 #1​ (ID951)",5.5
"Scuba diving, recreational diver #1 #1​ (ID952)",6.8
Snorkeling #1 #1​ (ID953),5.0
"Surfing, body or board, general #1 #1​ (ID954)",3.0
"Surfboard, paddling #1 #1​ (ID955)",6.8
"Surfing, body or board, competitive #1 #1​ (ID956)",5.0
"Stand up paddle boarding, general #1 #1​ (ID957)",6.5
"Stand up Paddleboard, standing, 10-19 strokes/min #1 #1​ (ID958)",2.8
"Stand up Paddleboard, standing, 20-29 strokes/min #1 #1​ (ID959)",3.8
"Stand up Paddleboard, standing, 30-39 strokes/min #1 #1​ (ID960)",5.0
"Stand up Paddleboard, standing, 40-49 strokes/min #1 #1​ (ID961)",9.8
"Stand up Paddleboard, standing, 50-69 strokes/min #1 #1​ (ID962)",11.0
"Swimming laps, freestyle, fast, vigorous effort #1 #1​ (ID963)",9.8
"Swimming laps, freestyle, slow, recreational #1 #1​ (ID964)",5.8
"Swimming, backstroke, training or competition #1 #1​ (ID965)",9.5
"Swimming, backstroke, recreational #1 #1​ (ID966)",4.8
"Swimming, breaststroke, general, training or  competition #1 #1​ (ID967)",10.3
"Swimming breaststroke, recreational #1 #1​ (ID968)",5.3
"Swimming, butterfly, general #1 #1​ (ID969)",13.8
"Swimming, crawl, fast speed, ~75 yards/minute,  vigorous effort #1 #1​ (ID970)",10.5
"Swimming, open water, 5k #1 #1​ (ID971)",10.5
"Swimming, crawl, medium speed, ~50 yards/minute, vigorous effort #1 #1​ (ID972)",8.0
"Swimming, crawl, slow speed, 30-45 yards/minute, moderate effort #1 #1​ (ID973)",5.8
"Swimming, crawl, elite swimmers, competition, >90 yards/minute #1 #1​ (ID974)",14.5
"Swimming, lake, ocean, river #1 #1​ (ID975)",6.0
"Swimming, leisurely, not lap swimming, general #1 #1​ (ID976)",6.0
"Swimming, sidestroke, general #1 #1​ (ID977)",7.0
"Swimming, synchronized #1 #1​ (ID978)",8.0
"Swimming, treading water, fast, vigorous effort #1 #1​ (ID979)",9.8
"Swimming, treading water, moderate effort,  general #1 #1​ (ID980)",3.5
"Tubing, floating on a river, general #1 #1​ (ID981)",2.3
"Water aerobics, water calisthenics, general #1 #1​ (ID982)",5.5
"Water aerobics, resistance exercises #1 #1​ (ID983)",3.8
"Water aerobics, high intensity #1 #1​ (ID984)",7.5
Water polo #1 #1​ (ID985),10.0
Water volleyball #1 #1​ (ID986),3.0
"Water jogging, vigorous effort #1 #1​ (ID987)",9.8
"Water walking, light effort, slow pace #1 #1​ (ID988)",2.5
"Water walking, moderate effort, moderate pace #1 #1​ (ID989)",4.8
"Water walking, vigorous effort, brisk pace #1 #1​ (ID990)",6.8
"Whitewater rafting, kayaking, or canoeing #1 #1​ (ID991)",5.0
"Water running, 30 steps/min, slow #1 #1​ (ID992)",6.5
"Water running, 40 steps/min, moderate #1 #1​ (ID993)",7.5
"Water running, 50 steps/min, fast #1 #1​ (ID994)",8.5
"Water running, 60 steps/min, very fast #1 #1​ (ID995)",9.8
"Windsurfing, not pumping for speed #1 #1​ (ID996)",5.0
"Windsurfing or kitesurfing, crossing trial #1 #1​ (ID997)",11.0
"Windsurfing, competition, pumping for speed #1 #1​ (ID998)",14.0
"Aquatic cycling, 25 W, 40-50 RPM #1 #1​ (ID999)",2.8
"Aquatic cycling, 25 W, 60-70 RPM #1 #1​ (ID1000)",4.8
"Aquatic cycling, 50 W, 40-50 RPM #1 #1​ (ID1001)",3.8
"Aquatic cycling,  50 W, 60-70 RPM #1 #1​ (ID1002)",6.0
"Aquatic cycling, 75 W, 40-50 RPM #1 #1​ (ID1003)",5.0
"Aquatic cycling, 75 W, 60-70 RPM #1 #1​ (ID1004)",6.3
"Aquatic cycling, 100 W, 40-50 RPM #1 #1​ (ID1005)",6.3
"Aquatic cycling, 100 W, 60-70 RPM #1 #1​ (ID1006)",7.5
"Aquatic cycling, 80-89 RPM #1 #1​ (ID1007)",8.5
"Aquatic cycling, 90+ RPM #1 #1​ (ID1008)",10.3
"Dog sledding, mushing #1 #1​ (ID1009)",7.5
"Dog sledding, passenger #1 #1​ (ID1010)",2.5
"Moving icehouse, set up/drill holes #1 #1​ (ID1011)",6.0
Ice fishing #1 #1​ (ID1012),2.0
"Skating, ice dancing #1 #1​ (ID1013)",14.0
"Skating, ice, 9 mph or less #1 #1​ (ID1014)",5.5
"Skating, ice, general #1 #1​ (ID1015)",7.0
"Skating, ice, rapidly, more than 9 mph but not competitive #1 #1​ (ID1016)",9.0
"Skating Treadmill, 6 - 6.9 mph, 2% grade #1 #1​ (ID1017)",9.0
"Skating Treadmill, 7 - 7.9 mph, 2% grade #1 #1​ (ID1018)",10.0
"Skating Treadmill, 8 - 8.9 mph, 2% grade #1 #1​ (ID1019)",10.5
"Skating Treadmill, 9 - 9.9 mph, 2% grade #1 #1​ (ID1020)",11.0
"Skating, speed, competitive #1 #1​ (ID1021)",13.8
"Ski jumping, climb up carrying skis #1 #1​ (ID1022)",7.0
"Skiing, general #1 #1​ (ID1023)",7.0
"Skiing, cross country, 2.5 mph, slow or light effort, ski walking #1 #1​ (ID1024)",6.8
"Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general #1 #1​ (ID1025)",8.5
"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort #1 #1​ (ID1026)",11.3
"Skiing, cross country, elite skier, >8.0-11.9 mph, racing #1 #1​ (ID1027)",14.0
"Skiing, cross country, 12-16 mph, elite skier, racing #1 #1​ (ID1028)",16.0
"Skiing, cross-country skiing high-intensity training #1 #1​ (ID1029)",9.5
"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering #1 #1​ (ID1030)",15.5
"Skiing, cross-country, skating #1 #1​ (ID1031)",13.3
"Skiing, cross-country, biathlon, skating technique #1 #1​ (ID1032)",13.5
"Biathlon training, 5 degree incline, 8 km/h #1 #1​ (ID1033)",12.8
"Biathlon training, 5 degree incline, 10.7 km/h #1 #1​ (ID1034)",12.8
"Skiing, slalom #1 #1​ (ID1035)",9.3
"Skiing, downhill, alpine or snowboarding, light effort, active time only #1 #1​ (ID1036)",4.3
"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only #1 #1​ (ID1037)",6.3
"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only #1 #1​ (ID1038)",8.0
"Skiing, Alpine skiing high-intensity training #1 #1​ (ID1039)",7.3
"Sledding, tobogganing, bobsledding, luge #1 #1​ (ID1040)",7.0
"Snow shoeing, moderate effort #1 #1​ (ID1041)",5.3
"Snow shoeing, vigorous effort #1 #1​ (ID1042)",10.0
"Snowmobiling, driving, moderate pace, flat land #1 #1​ (ID1043)",3.8
"Snowboarding, recreational, moderate pace, mountain #1 #1​ (ID1044)",7.5
"Snowmobiling, passenger, light #1 #1​ (ID1045)",2.0
"Snow shoveling, by hand, moderate effort #1 #1​ (ID1046)",5.3
"Snow shoveling, by hand, vigorous effort #1 #1​ (ID1047)",7.5
"Snow blower, walking and pushing #1 #1​ (ID1048)",2.5
"Skiing, roller, elite racers #1 #1​ (ID1049)",12.5
"Rollerskiing, 10 - 12.9 km/h, no incline #1 #1​ (ID1050)",5.5
"Rollerskiing, 13 - 16.9 km/h, no incline #1 #1​ (ID1051)",6.8
"Rollerskiing, 17 - 19.9 km/h, no incline #1 #1​ (ID1052)",8.3
"Rollerskiing, 20 - 23.9 km/h, no incline #1 #1​ (ID1053)",10.5
"Rollerskiing, 24 - 27.9 km/h, no incline #1 #1​ (ID1054)",15.0
"Rollerskiing, 10-15 km/h, 2-5 degree incline #1 #1​ (ID1055)",12.5
"Rollerskiing, 16-22 km/h, 2-5 degree incline #1 #1​ (ID1056)",14.3
"Rollerskiing, 6-9 km/h, 6-10 degree incline #1 #1​ (ID1057)",12.3
"Rollerskiing, >10 km/h, 6-10 degree incline #1 #1​ (ID1058)",16.0
"Mountaineering, downhill climbing, walking down with rope #1 #1​ (ID1059)",9.0
"Mountaineering, downhill climbing/cross-country skiing #1 #1​ (ID1060)",10.3
"Sitting in church, in service, attending a ceremony, sitting quietly #1 #1​ (ID1061)",1.0
"Sitting, playing an instrument at church #1 #1​ (ID1062)",2.0
"Sitting in church, talking or singing, attending a ceremony, sitting, active participation #1 #1​ (ID1063)",1.8
"Sitting, reading religious materials at home #1 #1​ (ID1064)",1.5
"Standing quietly in church, attending a ceremony #1 #1​ (ID1065)",1.3
"Standing, singing in church, attending a ceremony, standing, active participation #1 #1​ (ID1066)",2.0
"Kneeling in church or at home, praying #1 #1​ (ID1067)",1.3
"Standing, talking in church #1 #1​ (ID1068)",1.3
Walking in church #1 #1​ (ID1069),2.0
"Walking, less than 2.0 mph, very slow #1 #1​ (ID1070)",2.0
"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything #1 #1​ (ID1071)",3.8
"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything #1 #1​ (ID1072)",4.8
"Walk/stand combination for religious purposes, usher #1 #1​ (ID1073)",2.0
"Praise with dance or run, spiritual dancing in church #1 #1​ (ID1074)",5.0
Serving food at church #1 #1​ (ID1075),2.3
Preparing food at church #1 #1​ (ID1076),2.0
"Washing dishes, cleaning kitchen at church #1 #1​ (ID1077)",3.3
Eating at church #1 #1​ (ID1078),1.5
"Eating/talking at church or standing eating, American Indian Feast days #1 #1​ (ID1079)",2.0
Cleaning church #1 #1​ (ID1080),3.3
General yard work at church #1 #1​ (ID1081),4.0
"Standing , moderate effort #1 #1​ (ID1082)",3.8
"Standing, moderate-to-heavy effort, manual labor, lifting ≥ 50 lbs, heavy maintenance #1 #1​ (ID1083)",4.5
"Typing, electric, manual, or computer #1 #1​ (ID1084)",1.3
"Sitting, meeting, general, and/or with talking involved #1 #1​ (ID1085)",1.3
"Sitting, light office work, in general #1 #1​ (ID1086)",1.5
"Sitting, moderate work #1 #1​ (ID1087)",2.5
"Standing, light work #1 #1​ (ID1088)",1.8
"Sitting, child care, only active periods #1 #1​ (ID1089)",2.0
"Standing, child care, only active periods #1 #1​ (ID1090)",3.5
"Walk/run play with children, moderate, only active periods #1 #1​ (ID1091)",3.5
"Walk/run play with children, vigorous, only active periods #1 #1​ (ID1092)",5.8
"Standing, light/moderate work #1 #1​ (ID1093)",3.3
"Standing, moderate #1 #1​ (ID1094)",3.5
"Standing, moderate/heavy work #1 #1​ (ID1095)",4.5
"Typing, electric, manual, or computer #2 #1​ (ID1096)",1.3
"Walking, less than 2.0 mph, very slow #2 #1​ (ID1097)",2.3
"Walking, 2.8 to 3.4 mph, moderate speed, not carrying anything #2 #1​ (ID1098)",3.8
"Walking, 3.5 to 3.9 mph, brisk speed, not carrying anything #2 #1​ (ID1099)",4.8
"Walking, 2.5 mph slowly and carrying objects less than 25 pounds #1 #1​ (ID1100)",3.5
"Walking, 3.0 mph moderately and carrying objects less than 25 pounds, pushing something #1 #1​ (ID1101)",4.5
"Walking, 3.5 mph, briskly and carrying objects less than 25 pounds #1 #1​ (ID1102)",4.5
"Walk/stand combination, for volunteer purposes #1 #1​ (ID1103)",3.0
"Seated, video game, handheld controller #1 #1​ (ID1104)",1.3
"Video game, handheld controller #1 #1​ (ID1105)",1.5
"Video game, light effort #1 #1​ (ID1106)",2.3
"Active video game, motion sensing game/using upper body #1 #1​ (ID1107)",3.0
"Active video game, motion sensing game/using total body #1 #1​ (ID1108)",4.0
"Active video game, motion sensing game/using total body #2 #1​ (ID1109)",5.0
"Active video game, motion sensing game/using total body, exergames, workouts, dancing #1 #1​ (ID1110)",7.5
"Conditioning/exercise virtual reality fitness, vigorous intensity #1 #1​ (ID1111)",9.8
"Bicycling, stationary, general, moderate effort #1 #1​ (ID1112)",5.253480430785395
"Bicycling, stationary, 30-50 watts, moderate effort #1 #1​ (ID1113)",4.260166138071897
"Bicycling, stationary, 90-100 watts, vigorous effort #1 #1​ (ID1114)",6.3
"Bicycling, stationary, 101-160 watts, vigorous effort #1 #1​ (ID1115)",7.8
"Bicycling, stationary, 51-89 watts, moderate-to-vigorous effort #1 #1​ (ID1116)",4.518338318114103
Calisthenics #4 #1​ (ID1117),3.5
"Circuit training, Parcour-type, moderate effort #1 #1​ (ID1118)",4.5
"Elliptical trainer, light effort #1 #1​ (ID1119)",3.0
Resistance #4 #1​ (ID1120),3.0
"Resistance Training, general, light effort #1 #1​ (ID1121)",2.3
Resistance #5 #1​ (ID1122),4.3
"Health club exercise, conditioning classes #2 #1​ (ID1123)",4.954980842911877
"Health club exercise, conditioning classes, chair-based #1 #1​ (ID1124)",3.8
"Rowing, stationary, 50 to 99 watts, moderate-to-vigorous effort #1 #1​ (ID1125)",6.5
"Rowing, stationary, 100 to 149 watts, vigorous effort #2 #1​ (ID1126)",9.0
"Therapeutic exercise ball, Fitball exercise, chair exercise #1 #1​ (ID1127)",3.5
"Yoga, general #1 #1​ (ID1128)",2.5
"Yoga, chair, general #1 #1​ (ID1129)",2.7713920817369093
"Tai Chi, general #1 #1​ (ID1130)",3.8430314707771354
"Tai Chi, chair, general #1 #1​ (ID1131)",2.8
Ballroom Dance #1 #1​ (ID1132),6.0
"Dance class, General #1 #1​ (ID1133)",6.334584058118687
Smooth Dance #1 #1​ (ID1134),7.34567901234568
"Cleaning, sweeping carpet or floors, general #2 #1​ (ID1135)",4.3
"Cleaning, mopping, standing, Moderate effort #1 #1​ (ID1136)",4.3
"Cleaning windows, washing windows, general #2 #1​ (ID1137)",3.5
"Cleaning, mopping, standing, light effort #1 #1​ (ID1138)",3.0
"Dusting or polishing furniture, general #2 #1​ (ID1139)",4.0
"Cleaning, carrying out trash #1 #1​ (ID1140)",4.501752484191509
"Wash dishes, standing or in general #2 #1​ (ID1141)",2.5
"Cleaning, vacuuming, general, moderate effort #1 #1​ (ID1142)",4.3
"Cooking, serving food, setting table, implied walking or standing #1 #1​ (ID1143)",2.8
Putting away groceries/dishes #1 #1​ (ID1144),3.0
"Food shopping with or without a grocery cart, standing or walking #1 #1​ (ID1145)",3.7729041056560435
Ironing #2 #1​ (ID1146),2.8
"Laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort #1 #1​ (ID1147)",2.0
"Laundry, hanging wash, washing clothes by hand, moderate effort #1 #1​ (ID1148)",3.5235555555555553
"Making bed, changing linens #2 #1​ (ID1149)",4.0
"Moving furniture, household items, carrying boxes #2 #1​ (ID1150)",5.0
"Home repair, general, moderate effort #2 #1​ (ID1151)",3.958580858085808
Lying quietly and watching television #2 #1​ (ID1152),1.3
"Lying quietly, doing nothing, lying in bed awake, #1 #1​ (ID1153)",1.3
Sitting quietly and watching television #1 #1​ (ID1154),1.3
"Sitting quietly, general #2 #1​ (ID1155)",1.3
"Standing quietly, standing in a line #1 #1​ (ID1156)",1.4611918965945814
"Digging, spading, filling garden, compositing, moderate effort #1 #1​ (ID1157)",4.841222523336344
"Digging, spading, filling garden, composting, vigorous effort #2 #1​ (ID1158)",7.333333333333333
"Gardening, building garden bed #1 #1​ (ID1159)",4.8
"Gardening, mixing soil #1 #1​ (ID1160)",3.0322061191626406
Laying mulch #1 #1​ (ID1161),3.5
"Mowing lawn, general #1 #1​ (ID1162)",6.8
"Planting, potting, transplanting seedlings or plants, light-moderate effort #1 #1​ (ID1163)",3.298660362490149
"Raking lawn or leaves, moderate effort #2 #1​ (ID1164)",3.9995293550218984
"Trimming shrubs or trees, manual cutter #2 #1​ (ID1165)",3.271111111111111
"Trimming shrubs or trees, power cutter, using leaf blower, edge, moderate effort #1 #1​ (ID1166)",3.8481481481481477
"Walking, applying fertilizer #1 #1​ (ID1167)",5.3
"Watering lawn or garden, standing or walking #2 #1​ (ID1168)",3.3
"Weeding, cultivating garden, light-to-moderate effort #2 #1​ (ID1169)",4.8
"Picking fruit off trees, picking fruits/vegetables, moderate effort #1 #1​ (ID1170)",3.5
"Yard work, general, moderate effort #1 #1​ (ID1171)",4.975711218464841
"Gardening, general, moderate effort #2 #1​ (ID1172)",3.81351917288313
"Card playing, sitting #1 #1​ (ID1173)",1.5037037037037035
"Typing, electric, manual or computer #2 #1​ (ID1174)",1.4937932437932435
"Running, 3.6 mph #1 #1​ (ID1175)",8.537037037037036
"Running, 7 mph #2 #1​ (ID1176)",15.814814814814815
"Dressing, undressing, standing or sitting #2 #1​ (ID1177)",2.9646730462519932
"Grooming, washing hands, shaving, brushing teeth, putting on make-up, sitting or standing #1 #1​ (ID1178)",2.7870370370370363
"Golf, walking, pulling clubs #2 #1​ (ID1179)",4.3
"Horseback riding, simulated #1 #1​ (ID1180)",2.8
"Pickleball, competitive #1 #1​ (ID1181)",5.314814814814814
"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface #2 #1​ (ID1182)",4.3
"Stair climbing, slow pace #2 #1​ (ID1183)",4.0
"Stair climbing, fast pace #1 #1​ (ID1184)",6.5
"Ascending stairs, using cane #1 #1​ (ID1185)",2.0
"Ascending stairs, using standard walker #1 #1​ (ID1186)",3.0481481481481483
"Ascending stairs, using wheeled walker #1 #1​ (ID1187)",3.3
"Walking, less than 1.0 mph, level, strolling, very slow #1 #1​ (ID1188)",3.0
"Walking, 1.0 to 1.9 mph, level, slow pace, firm surface #1 #1​ (ID1189)",4.0
"Walking, 2.0 mph, level, slow pace, firm surface #1 #1​ (ID1190)",3.8113325281803534
"Walking, 2.2 to 2.7 mph, level, firm surface #1 #1​ (ID1191)",4.541739255959746
"Walking, 2.8 to 3.2 mph, level, moderate pace, firm surface #1 #1​ (ID1192)",5.251888333729876
"Walking, 3.3 to 3.7 mph, level, brisk, firm surface, walking for exercise #1 #1​ (ID1193)",6.0
"Walking, brisk pace, general #1 #1​ (ID1194)",5.5
"Walking, 1.5 to 2.0 mph, 2.5 to 5% grade #1 #1​ (ID1195)",5.011572272661766
"Walking, 4.0 to 4.2 mph, level, firm surface, very brisk pace #1 #1​ (ID1196)",7.3
"Walking, 4.5 mph, level, firm surface, very, very brisk #1 #1​ (ID1197)",9.0
"Walking, leasurly, self-selected pace, general #1 #1​ (ID1198)",4.0
"Walking, for exercise, with ski poles, Nordic walking, #1 #1​ (ID1199)",7.0
"Walking, with a cane #1 #1​ (ID1200)",3.475555555555556
"Walking, with standard walker #1 #1​ (ID1201)",3.5
"Walking, with wheeled Walker #1 #1​ (ID1202)",3.5
"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only #2 #1​ (ID1203)",5.3
"Skiing, downhill, alpine or snowboarding, vigorous effort, general, active time only #1 #1​ (ID1204)",6.8
"Snow shoveling, by hand, vigorous effort #2 #1​ (ID1205)",8.0
"Seated, video game, handheld controller #2 #1​ (ID1206)",1.8
"Video game, light effort #2 #1​ (ID1207)",2.814155251141552
"Active video game, motion sensing game/using upper body #2 #1​ (ID1208)",3.517523493642896
"Active video game, motion sensing game/using total body #3 #1​ (ID1209)",5.509259259259259
"Active video game, motion sensing game/using total body #4 #1​ (ID1210)",7.8
Aerobics #1 #1​ (ID1211),1.7
Arm Ergometry 16W #1 #1​ (ID1212),2.2
Arm Ergometry 20W #1 #1​ (ID1213),2.3
Arm Ergometry 30-32W #1 #1​ (ID1214),2.7
Arm Ergometry 40-48W #1 #1​ (ID1215),3.5
Arm Ergometry  60-64W #1 #1​ (ID1216),4.6
Arm Ergometry 80W #1 #1​ (ID1217),4.4
Arm Ergometry 96W #1 #1​ (ID1218),5.4
Arm Ergometry #1 #1​ (ID1219),2.3
Arm Ergometry exercise #1 #1​ (ID1220),4.3
Eccentric Arm Ergometry #1 #1​ (ID1221),2.2
Handcycle - 8 km/h #1 #1​ (ID1222),3.0
Handcycle - 16 km/h #1 #1​ (ID1223),7.5
Handcycle ergometer #1 #1​ (ID1224),3.6
Handcycle racing #1 #1​ (ID1225),4.5
Resistance #6 #1​ (ID1226),2.1
Circuit Training #1 #1​ (ID1227),2.3
Resistance band #1 #1​ (ID1228),1.5
Wheelchair pushups #1 #1​ (ID1229),2.0
Skill Parcour #1 #1​ (ID1230),3.4
Heavy-bag boxing #1 #1​ (ID1231),4.4
Wheeling 10-18W #1 #1​ (ID1232),2.7
Wheeling 20-26W #1 #1​ (ID1233),3.3
Wheeling - 30-35W #1 #1​ (ID1234),4.1
Wheeling - 50W #1 #1​ (ID1235),3.9
Wheelchair dynamometer - 3.2 km/h #1 #1​ (ID1236),2.8
